pat  cover  s0    s12   s33   s59   s75   s100   minSig
094  1.000   57.0  57.0  57.0  57.0  57.0  57.0    57.0
095  0.607   41.7  41.8  41.3  41.9  41.6  40.4    40.4
096  0.593   62.2  61.3  60.3  62.1  60.8  61.3    60.3
097  1.000   21.6  32.9  37.9  41.0  46.2  51.7    21.6
098  1.000   49.6  49.2  48.2  49.8  49.0  48.9    48.2
099  0.997   62.1  61.3  59.9  62.1  60.7  61.6    59.9
100  0.387   31.8  34.8  27.9  27.0  27.5  38.2    27.0
101  0.217   15.2  35.7  22.0  28.6  29.7  45.4    15.2
102  0.569   70.0  65.8  60.2  60.4  64.8  57.2    57.2
103  0.043   29.5  30.5  25.3  29.7  28.7  30.9    25.3
104  0.143   19.8  20.9  19.0  20.7  24.7  21.5    19.0
105  0.002    5.9   9.3  10.0  13.6  16.2  18.1     5.9
106  0.094   21.7  22.1  15.4  17.4  20.2  22.7    15.4
107  0.138   18.4  20.4  15.2  18.4  20.6  19.7    15.2
108  0.219   29.5  39.4  20.8  28.5  35.1  40.7    20.8
109  0.039   24.6  25.2  34.1  35.0  36.4  28.3    24.6
110  0.165   28.4  23.5   6.8  33.9  11.8   4.5     4.5
111  0.487   50.9  57.1  44.6  51.9  50.6  48.3    44.6
112  0.199   23.0  26.0  22.4  26.5  25.4  23.8    22.4
113  1.000   14.4  28.1  15.3  31.4  22.3  10.8    10.8
114  0.232   24.2  21.5  18.4  19.5  22.9  20.1    18.4
115  1.000   82.3  69.8  59.7  62.7  71.3  58.9    58.9
116  0.098   23.1  25.5  18.6  23.0  24.3  22.4    18.6
117  0.202   18.1  20.4  18.7  21.4  23.8  21.7    18.1
118  0.214   35.3  36.2  24.6  30.3  33.5  27.3    24.6
119  0.331   73.4  80.0  58.8  68.9  86.5  77.3    58.8
120  0.976   29.6  30.9  24.3  24.8  39.7  35.4    24.3
121  0.146   36.9  47.0  34.3  42.6  43.3  39.8    34.3
122  0.305   54.1  58.8  44.8  51.6  53.1  54.2    44.8
123  0.070   31.6  38.1  27.3  34.9  34.8  32.1    27.3
124  0.281   35.3  51.2  32.1  44.5  38.8  39.1    32.1
125  0.226   49.9  53.3  47.4  52.3  67.1  43.2    43.2
126  0.209   42.7  35.1  23.9  30.3  25.9  22.8    22.8
127  0.089   25.6  26.2  19.9  23.2  27.0  21.4    19.9
128  0.023   15.8  15.5  13.5  14.6  15.6  14.0    13.5
129  0.029   23.0  22.3  18.5  21.0  23.5  19.6    18.5
130  0.288   32.6  39.7  27.9  38.0  42.4  31.7    27.9
131  0.528   64.8  68.5  58.9  64.2  65.6  65.8    58.9
132  0.144   27.5  28.3  25.9  27.5  29.7  28.6    25.9
133  0.100   19.9  18.1  16.3  17.6  21.9  17.0    16.3
134  0.402   36.2  47.6  28.0  37.1  19.4  42.4    19.4
135  0.072   19.7  20.4  16.5  17.9  18.8  20.0    16.5
136  0.094   10.4  13.1   8.9  10.8   9.3  12.9     8.9
137  0.287   40.5  40.4  42.3  44.3  47.9  42.9    40.4
138  0.265   28.5  37.6  31.2  40.3  24.8  25.4    24.8
139  0.414   64.3  61.8  56.1  60.7  69.6  58.0    56.1
140  0.100   35.1  39.2  31.0  35.6  32.8  37.3    31.0
141  0.072   21.4  29.6   8.4  18.7   4.0  16.6     4.0
142  0.149   42.1  59.9  20.5  40.6  16.0  37.3    16.0
143  0.365   24.2  31.7   9.4  21.9   2.9  18.9     2.9
144  0.153   48.2  65.8  30.6  54.0  46.0  46.4    30.6
145  0.484   18.5  41.2  11.1  33.7   3.6  25.5     3.6
146  0.203   48.8  60.6  18.9  44.5  10.1  37.9    10.1
147  0.055   24.2  40.4  18.7  31.6  19.7  29.8    18.7
148  0.124   13.5  15.0  12.2  13.6  13.2  14.7    12.2
149  0.296   34.4  41.7  30.8  38.0  39.1  34.4    30.8
150  0.538   55.2  61.3  56.7  55.8  58.0  60.7    55.2
151  0.339   50.0  59.9  45.2  49.0  62.1  58.7    45.2
152  0.190   29.5  38.0  29.5  37.6  35.1  28.7    28.7
153  0.170   19.7  23.2  19.6  21.7  25.8  23.2    19.6
154  0.508   71.3  82.2  72.6  80.3  92.9  88.5    71.3
155  0.097   21.7  29.1  21.8  28.2  27.6  29.6    21.7
156  0.067   27.7  29.7  19.4  25.8  23.7  21.5    19.4
157  0.150   37.3  34.3  29.8  31.7  36.3  30.7    29.8
158  0.540   60.9  68.8  59.1  65.0  80.2  74.1    59.1
159  0.698   23.3  22.5  20.6  22.7  25.3  21.4    20.6
160  1.000   31.8  43.8  30.7  41.9  50.1  48.5    30.7
161  0.108   28.5  34.3  27.4  34.3  33.9  36.3    27.4
162  0.334   31.3  37.6  24.5  31.9  37.7  36.7    24.5
163  0.402   26.3  49.3  29.5  46.0  34.5  68.7    26.3
164  0.104    9.2  14.9   9.6  14.4  12.1  18.9     9.2
165  0.338   16.9  25.4  17.5  24.9  28.2  33.5    16.9
166  0.137   18.4  22.7  23.8  26.5  28.1  30.8    18.4
167  0.107   37.1  45.9  31.1  40.6  43.3  45.5    31.1
168  0.221   23.1  40.6  21.7  40.0  21.1  46.6    21.1
169  0.163   33.7  43.9  25.5  33.5  40.6  45.1    25.5
170  0.415   36.2  40.1  25.9  33.4  25.8  36.7    25.8
171  0.205   36.4  43.5  32.8  35.5  45.8  44.9    32.8
172  0.189   22.3  25.9  15.5  21.8  13.1  19.9    13.1
173  0.084   26.1  26.5  20.3  24.4  26.8  22.5    20.3
174  0.246   31.4  35.7  29.5  33.5  39.0  36.6    29.5
175  0.314   44.8  56.1  36.3  46.2  54.7  53.2    36.3
176  0.110   26.2  26.2  24.3  26.4  30.7  25.3    24.3
177  0.098   33.9  31.1  32.2  35.6  43.4  36.9    31.1
178  0.133   29.1  29.2  17.1  19.5  18.5  22.4    17.1
179  0.192   34.3  39.8  30.4  34.2  42.0  38.6    30.4
180  0.074   29.0  29.5  25.1  27.2  30.0  27.3    25.1
181  0.271   38.9  40.3  31.7  38.3  38.3  36.1    31.7
182  0.349   38.9  37.8  35.5  37.0  41.1  35.6    35.5
183  0.109   15.2  16.4  14.2  15.3  18.4  16.3    14.2
184  0.307   12.1  11.2  10.4  12.0  14.4  10.8    10.4
185  0.014    9.2  10.4   6.3   6.0   6.9   9.5     6.0
186  0.961   58.7  58.2  53.0  54.9  87.6  57.7    53.0
187  0.092   14.2  14.4  10.4  12.9  16.0  12.3    10.4
188  0.671   63.9  64.9  61.8  65.9  79.3  67.2    61.8
189  0.002    1.8   2.4   1.5   2.0   2.4   2.3     1.5
