seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
7300000,2,128,715,149,103,0.0676,1.303,0.8738,76.9
7300000,1,63,605,209,206,0.6920,2.575,0.9417,78.8
7300000,5,69,605,266,266,0.5782,2.047,0.7293,81.6
7300000,3,82,835,229,213,0.0489,0.555,0.1174,81.4
7300000,2,198,2030,217,208,0.4513,0.880,0.3317,112.9
7300000,3,203,2845,128,121,0.2410,0.565,0.0000,103.7
7300000,5,122,1935,331,310,0.4693,1.122,0.6065,106.5
7300000,5,374,3590,121,49,0.0192,6.280,1.0000,87.0
7300000,1,148,2370,398,287,0.1101,2.898,0.7282,97.3
7300000,5,72,4195,222,191,0.4526,2.882,0.9581,79.1
7300000,3,212,4640,124,115,0.1249,1.684,0.8261,79.7
7300000,2,114,4330,279,270,0.3368,3.184,0.9407,68.6
7300000,1,60,4475,273,260,0.3623,1.649,0.7423,62.7
7300000,5,314,5305,149,102,0.4473,2.056,0.9314,28.4
7300000,5,248,6050,48,0,0.0000,0.000,0.0000,14.9
7300000,5,257,6290,48,0,0.0000,0.000,0.0000,62.0
7300000,5,417,6530,48,0,0.0000,0.000,0.0000,72.0
7300000,5,293,6770,48,0,0.0000,0.000,0.0000,53.8
7300000,3,98,7445,143,137,0.9008,0.999,0.5182,63.9
7300000,5,364,7010,292,270,0.6399,3.669,0.9370,62.4
7300000,1,202,7100,270,261,0.1767,5.107,0.9157,62.4
7300000,2,201,7325,322,316,0.3689,2.526,0.9304,62.2
7300000,5,46,8470,238,228,0.3500,1.499,0.5965,77.3
7300000,3,526,8850,153,32,0.0099,0.874,1.0000,81.6
7300000,1,323,8750,236,172,0.2201,0.817,0.4244,89.6
7300000,5,71,9660,217,118,0.3199,1.861,0.6271,59.4
7300000,2,170,10175,230,203,0.0551,1.572,0.5862,44.3
7300000,1,625,10300,217,207,0.7095,4.588,0.8937,45.9
7300000,5,401,10745,210,122,0.4278,2.917,0.9098,63.3
7300000,3,622,12165,162,149,0.0851,0.255,0.0000,143.4
7300000,5,121,11795,287,245,0.3129,0.912,0.4041,127.1
7300000,2,492,11875,349,243,0.1516,2.000,0.9465,114.6
7300000,1,519,12000,360,350,0.3461,1.273,0.4057,111.4
7300000,5,209,13230,215,111,0.3534,1.761,0.8288,74.4
7300000,5,409,14305,149,109,0.2359,0.743,0.4404,56.0
7300000,2,100,14480,254,243,0.3354,0.835,0.2058,52.5
7300000,5,243,15050,213,213,0.6380,3.929,0.5775,43.5
7300000,5,629,16115,48,35,0.6068,1.261,0.6857,39.9
7300000,3,552,15665,119,113,0.0431,2.529,0.8938,32.9
7300000,1,213,15455,171,164,0.7124,4.906,0.8780,35.5
7300000,5,66,16355,48,0,0.0000,0.000,0.0000,50.5
7300000,5,429,16595,48,0,0.0000,0.000,0.0000,54.0
7300000,5,235,16835,48,0,0.0000,0.000,0.0000,48.3
7300000,1,188,17475,106,95,0.3024,2.074,0.6737,71.5
7300000,2,27,17300,141,139,0.7896,3.769,0.9640,78.1
7300000,3,495,17085,184,177,0.1230,1.688,0.8305,72.1
7300000,5,297,17075,186,177,0.6380,3.680,0.8757,72.3
