seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
1700000,5,490,605,180,171,0.1056,2.260,0.9591,65.8
1700000,2,514,605,173,171,0.1099,2.351,0.9591,65.9
1700000,1,522,605,306,0,0.0000,0.000,0.0000,60.5
1700000,5,493,1505,262,79,0.1540,0.902,0.8354,48.1
1700000,3,555,2235,109,69,0.0574,1.467,0.6957,43.3
1700000,5,73,2815,48,48,0.8081,4.164,1.0000,28.7
1700000,5,28,3055,48,48,0.5481,1.480,0.5208,72.3
1700000,2,55,2525,163,153,0.6236,2.706,0.7974,49.1
1700000,5,122,3295,286,275,0.2674,0.810,0.2727,105.3
1700000,2,546,3715,203,89,0.0543,0.602,0.1685,99.6
1700000,1,582,3340,287,279,0.2286,0.830,0.2796,102.3
1700000,3,164,3880,298,158,0.0339,0.230,0.0000,72.1
1700000,5,301,4725,310,310,0.5718,2.014,0.6774,55.1
1700000,2,114,5185,269,262,0.7105,2.404,0.9389,62.9
1700000,1,57,5335,289,280,0.2948,1.054,0.4107,63.6
1700000,5,66,6275,159,149,0.3297,1.052,0.3691,72.8
1700000,3,539,6675,216,139,0.0401,0.774,0.4532,84.6
1700000,5,72,7070,242,195,0.0645,3.442,0.8872,77.4
1700000,1,600,7665,281,271,0.0980,3.965,0.9188,84.4
1700000,5,407,8280,217,217,0.1986,2.258,0.8618,95.7
1700000,3,585,8970,161,146,0.1572,1.680,0.6986,62.2
1700000,5,265,9365,104,84,0.2732,2.573,0.8571,26.8
1700000,2,545,8540,255,246,0.1336,2.717,0.9309,70.8
1700000,5,305,9885,48,0,0.0000,0.000,0.0000,53.7
1700000,5,453,10125,217,198,0.5123,1.209,0.7879,107.0
1700000,3,597,10195,300,290,0.2803,1.182,0.6897,112.1
1700000,2,130,10535,290,281,0.2288,0.374,0.0000,114.6
1700000,1,211,10395,398,389,0.4019,1.307,0.8021,109.5
1700000,5,105,11210,302,295,0.4982,0.965,0.5186,110.2
1700000,5,374,12720,190,190,0.5053,3.861,0.9526,66.8
1700000,2,78,12360,343,329,0.1038,1.800,0.7964,74.1
1700000,1,525,12740,301,292,0.5252,3.924,0.9349,65.2
1700000,5,420,13670,141,110,0.5509,3.253,0.9182,69.9
1700000,5,381,14375,139,112,0.2133,2.134,0.9286,103.1
1700000,2,203,14495,186,179,0.1993,2.083,0.8715,113.4
1700000,5,426,15070,152,118,0.0864,2.389,0.8898,113.3
1700000,3,507,14680,312,261,0.0420,2.779,0.9310,104.3
1700000,5,422,15830,147,131,0.1497,1.111,0.4198,95.8
1700000,5,414,16565,120,67,0.0432,1.019,0.0000,81.2
1700000,2,616,16025,210,0,0.0069,0.521,0.0000,91.0
1700000,1,292,15845,262,175,0.0764,0.488,0.2971,89.4
1700000,3,212,16760,120,16,0.0107,2.663,0.8125,72.7
1700000,2,611,17600,81,12,0.0119,1.428,0.8333,69.9
1700000,5,448,17165,168,28,0.0098,1.339,0.8214,69.0
