seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
2300000,5,473,605,116,95,0.0599,2.591,0.8211,99.3
2300000,1,496,680,195,186,0.0474,5.954,0.9086,89.6
2300000,5,477,1185,141,141,0.0838,4.590,0.9787,99.0
2300000,2,494,775,264,247,0.0427,2.929,0.8785,102.4
2300000,5,479,1890,117,81,0.0389,0.854,0.3457,119.8
2300000,3,607,2200,180,115,0.0361,0.371,0.0000,121.5
2300000,5,487,2475,153,144,0.1414,0.869,0.2153,124.6
2300000,2,555,2530,150,104,0.0305,1.762,0.7885,124.8
2300000,5,66,3240,198,198,0.7464,0.528,0.1364,81.3
2300000,2,611,3615,117,106,0.0818,0.240,0.0000,75.3
2300000,1,580,2690,311,295,0.1675,1.177,0.5458,97.9
2300000,3,132,3470,164,147,0.8613,0.180,0.0000,78.3
2300000,5,67,4230,193,99,0.1151,2.072,0.8485,43.2
2300000,5,46,5195,49,49,0.3003,6.439,1.0000,48.3
2300000,5,475,5440,170,170,0.2647,1.989,0.6765,112.3
2300000,2,61,5730,172,121,0.1397,0.399,0.0000,105.6
2300000,1,598,4715,398,388,0.2065,3.154,0.9485,79.0
2300000,3,613,6590,90,76,0.0934,0.257,0.0000,91.5
2300000,5,43,6290,234,234,0.3617,1.496,0.4487,84.9
2300000,1,195,6780,282,269,0.2732,1.396,0.6357,76.1
2300000,2,601,7045,267,259,0.3266,2.402,0.9266,68.8
2300000,5,26,7460,260,260,0.5135,1.522,0.5654,63.0
2300000,3,349,8195,163,146,0.3133,0.629,0.0616,60.3
2300000,5,226,8760,246,232,0.4393,3.046,0.6724,83.9
2300000,2,531,9015,256,241,0.0969,2.072,0.7344,107.7
2300000,1,198,9195,324,314,0.4040,2.037,0.3981,115.1
2300000,5,24,9990,191,191,0.2812,0.764,0.2356,133.0
2300000,5,329,10945,60,60,0.3067,1.328,0.5667,27.4
2300000,3,571,10335,193,153,0.1275,1.147,0.5425,74.3
2300000,5,257,11245,48,48,0.1244,0.870,0.3125,40.8
2300000,2,548,11010,199,179,0.1096,0.743,0.2793,48.4
2300000,1,582,11510,212,184,0.1902,2.522,0.9728,87.6
2300000,5,73,11485,245,245,0.5979,1.799,0.5265,90.2
2300000,2,544,12345,189,175,0.1284,1.464,0.7600,100.8
2300000,3,193,12190,226,219,0.9451,0.495,0.0000,101.7
2300000,5,183,12710,306,306,0.4900,1.380,0.5392,89.3
2300000,1,109,12930,399,390,0.2001,1.756,0.7333,91.4
2300000,5,86,14240,162,146,0.2713,1.424,0.6644,101.3
2300000,2,215,13705,262,247,0.0543,1.013,0.5223,101.9
2300000,3,617,14475,172,33,0.0081,0.376,0.0000,113.5
2300000,5,446,15050,124,50,0.0421,0.277,0.0600,126.8
2300000,5,403,15670,130,130,0.3914,3.825,0.9846,50.2
2300000,1,324,15390,265,247,0.2574,1.269,0.5466,58.9
2300000,2,584,15740,223,213,0.2217,4.581,0.9531,39.3
2300000,5,541,16320,132,112,0.3808,3.353,0.9464,32.8
2300000,3,570,16325,142,78,0.0211,1.547,1.0000,34.8
2300000,5,484,16980,180,89,0.0762,0.297,0.2135,85.3
2300000,1,148,17395,122,114,0.1342,0.659,0.3860,96.2
2300000,5,468,17880,25,25,0.1072,1.129,1.0000,112.8
