seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
4700000,3,62,800,153,144,0.7533,0.077,0.0000,85.5
4700000,2,113,605,202,196,0.9163,0.141,0.0000,82.3
4700000,5,64,605,230,230,0.9155,2.985,1.0000,83.4
4700000,1,108,605,339,334,0.5278,3.390,0.9731,85.3
4700000,3,171,2235,173,158,0.2484,0.103,0.0000,105.0
4700000,5,105,1755,304,304,0.6393,1.490,0.6743,98.5
4700000,2,139,2130,214,204,0.4196,0.372,0.0000,102.1
4700000,1,269,2545,276,267,0.4113,1.435,0.8689,85.8
4700000,5,138,3275,253,253,0.7846,1.102,0.6166,52.0
4700000,2,135,3710,334,329,0.9678,0.839,0.3495,55.3
4700000,3,152,4900,116,80,0.0219,1.667,0.9375,75.7
4700000,5,69,4540,239,239,0.9391,2.540,1.0000,67.8
4700000,1,74,4665,310,297,0.7712,2.646,0.8620,65.1
4700000,5,314,5735,120,120,0.6901,1.870,0.5000,59.8
4700000,5,413,6335,173,148,0.7526,0.750,0.4122,58.9
4700000,2,57,5970,234,193,0.2255,0.518,0.0000,64.3
4700000,5,318,7200,54,54,0.9821,0.597,0.0000,41.2
4700000,3,194,6615,226,220,0.2648,3.216,0.9545,51.1
4700000,1,89,6505,299,290,0.9270,0.473,0.0379,56.5
4700000,5,455,7470,170,170,0.6431,1.481,0.4059,79.7
4700000,2,98,7750,202,193,0.1880,2.323,0.7150,107.8
4700000,5,439,8320,150,150,0.2581,1.586,0.7200,112.7
4700000,3,201,8475,257,250,0.1974,2.435,0.8960,76.3
4700000,5,493,9070,222,222,0.6678,5.257,0.9550,53.2
4700000,2,27,9415,183,174,0.7660,1.931,0.8506,62.6
4700000,1,231,9525,292,286,0.5585,4.550,0.8636,53.9
4700000,5,322,10180,243,243,0.4619,1.842,0.5926,47.3
4700000,3,560,10810,134,118,0.0862,0.685,0.2288,47.1
4700000,5,408,11395,48,7,0.0074,0.042,0.0000,100.2
4700000,5,380,11635,48,0,0.0000,0.000,0.0000,99.4
4700000,5,630,11875,48,0,0.0000,0.000,0.0000,116.1
4700000,5,48,12115,143,99,0.2547,2.021,0.8081,76.5
4700000,3,165,12500,104,6,0.0078,0.311,0.0000,50.3
4700000,5,450,12830,309,309,0.3360,1.066,0.4919,103.5
4700000,1,81,12305,398,387,0.2297,1.699,0.6615,92.4
4700000,3,523,13960,133,125,0.0833,1.701,0.8160,78.9
4700000,2,100,13270,276,262,0.2441,0.609,0.1985,102.1
4700000,5,383,14375,124,124,0.3992,1.681,0.7581,73.4
4700000,5,358,14995,57,57,0.4130,1.494,0.7895,26.5
4700000,5,323,15280,48,48,0.0710,0.277,0.0000,34.7
4700000,5,227,15520,48,3,0.0038,0.031,0.0000,57.1
4700000,1,345,14575,234,187,0.2259,1.124,0.5989,49.8
4700000,5,468,15760,162,103,0.1063,1.504,0.6699,90.8
4700000,3,526,15835,145,35,0.0147,1.928,1.0000,91.6
4700000,2,210,16030,223,208,0.1029,0.741,0.2404,75.3
4700000,5,410,16570,148,125,0.1655,1.143,0.8000,68.9
4700000,1,189,16170,210,202,0.0881,1.774,0.8911,72.4
4700000,2,518,17460,109,104,0.2068,2.199,0.8365,112.5
4700000,3,615,17720,57,10,0.0162,0.287,0.0000,97.5
4700000,5,417,17310,139,104,0.1681,1.607,0.8365,114.5
