seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
3100000,5,460,605,64,0,0.0000,0.000,0.0000,106.3
3100000,5,465,925,154,69,0.1580,0.407,0.3333,105.5
3100000,5,468,1695,174,147,0.3017,0.876,0.4286,102.2
3100000,5,484,2565,129,129,0.4615,1.934,0.8372,72.2
3100000,2,493,1330,398,355,0.3422,1.033,0.4845,91.3
3100000,3,505,2620,220,215,0.1115,3.864,0.9349,72.8
3100000,5,479,3210,180,180,0.4013,5.093,0.9167,70.8
3100000,5,486,4110,160,152,0.3330,2.202,0.5987,63.0
3100000,1,508,3340,329,310,0.3390,3.633,0.7645,65.7
3100000,5,25,4910,250,240,0.4169,2.916,0.8917,133.6
3100000,3,568,5300,254,55,0.0085,0.437,0.3636,129.9
3100000,2,602,4980,398,390,0.1660,4.945,0.9615,110.1
3100000,1,525,5535,331,323,0.5853,1.388,0.6285,99.7
3100000,5,46,6160,322,322,0.5591,2.102,0.8447,52.7
3100000,3,202,7105,142,133,0.3924,2.836,0.8571,35.2
3100000,5,43,7770,42,4,0.0129,0.019,0.0000,57.6
3100000,5,487,7980,155,134,0.4570,3.533,0.9254,56.3
3100000,5,256,8755,53,49,0.2817,1.914,0.6939,43.0
3100000,1,263,8150,251,158,0.2764,2.536,0.8734,54.3
3100000,2,148,8075,273,183,0.0818,2.568,0.5902,55.6
3100000,5,383,9020,141,58,0.0279,4.235,0.8793,75.3
3100000,3,215,9415,158,146,0.0327,1.123,0.3562,113.1
3100000,5,481,9725,167,167,0.2925,1.334,0.5210,112.1
3100000,2,575,9960,242,234,0.0402,0.893,0.4957,87.0
3100000,5,246,10560,200,200,0.3106,2.424,1.0000,61.2
3100000,5,247,11560,54,54,0.6332,1.294,0.5185,11.3
3100000,1,333,10035,364,351,0.3691,2.061,0.8889,64.7
3100000,5,315,11830,48,48,0.0572,0.538,0.1042,56.8
3100000,3,537,11585,155,146,0.0667,0.568,0.1849,49.4
3100000,5,418,12070,142,52,0.0165,0.138,0.0000,62.6
3100000,5,345,12780,171,139,0.6488,3.309,0.9568,28.2
3100000,5,258,13635,48,48,0.9135,2.613,1.0000,27.9
3100000,5,363,13875,48,48,0.8906,3.282,1.0000,34.6
3100000,5,336,14115,48,48,0.9500,5.327,1.0000,23.1
3100000,5,307,14355,48,48,0.7530,2.578,1.0000,59.3
3100000,1,208,12930,398,392,0.7302,2.533,0.9286,43.6
3100000,2,205,13170,386,376,0.2170,1.878,0.9415,50.4
3100000,5,491,14595,180,159,0.2120,0.774,0.5094,110.6
3100000,3,56,14745,135,105,0.0714,0.500,0.1524,107.8
3100000,5,18,15495,102,0,0.0000,0.000,0.0000,133.5
3100000,5,361,16005,199,187,0.2258,3.024,0.9626,93.6
3100000,3,565,16480,148,47,0.0187,0.691,0.0000,101.7
3100000,2,527,16045,307,297,0.1832,2.122,0.9057,87.7
3100000,1,600,16270,347,339,0.1203,3.028,0.9558,93.9
3100000,5,107,17000,201,201,0.2563,2.172,0.9403,87.7
