seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
8100000,5,373,605,120,0,0.0000,0.000,0.0000,83.2
8100000,5,392,1205,155,0,0.0000,0.000,0.0000,81.1
8100000,5,408,1980,155,0,0.0000,0.000,0.0000,62.6
8100000,5,436,2755,184,0,0.0000,0.000,0.0000,93.8
8100000,5,446,3675,187,129,0.1161,2.959,0.9302,82.9
8100000,2,494,4070,159,149,0.0446,3.524,0.9262,112.6
8100000,3,502,3920,216,160,0.0655,2.513,0.8812,111.1
8100000,1,533,4285,219,178,0.0623,2.082,0.8820,130.2
8100000,5,435,4610,251,135,0.0478,1.172,0.8963,107.0
8100000,5,541,5865,55,46,0.4371,1.522,0.8261,44.4
8100000,5,427,6140,200,200,0.5237,1.786,0.9350,76.0
8100000,3,496,6525,131,117,0.0567,2.039,0.9231,70.5
8100000,1,38,5885,304,296,0.4779,1.612,0.8716,67.5
8100000,5,53,7140,122,122,0.3298,1.890,0.7951,46.7
8100000,2,130,6320,354,344,0.0861,1.257,0.5901,70.7
8100000,5,402,7750,225,208,0.4619,2.373,0.6442,91.8
8100000,5,325,8875,142,142,0.7731,6.127,1.0000,52.3
8100000,1,154,8130,334,324,0.6744,4.225,0.9228,71.6
8100000,5,478,9585,128,128,0.7188,3.553,0.9297,71.3
8100000,2,221,9150,250,240,0.4852,2.298,0.8208,63.2
8100000,5,250,10225,67,67,0.5331,1.785,0.6716,69.1
8100000,3,544,9755,175,170,0.2982,1.890,0.7059,74.3
8100000,5,19,10560,103,103,0.4938,2.868,0.7864,125.4
8100000,3,583,11165,136,126,0.0555,0.540,0.0000,33.8
8100000,1,603,10575,318,311,0.5486,6.019,0.9357,63.1
8100000,5,237,11075,262,262,0.5354,6.510,0.9847,39.1
8100000,2,156,11550,215,195,0.0628,0.959,0.3692,56.7
8100000,5,479,12385,180,155,0.1660,2.033,0.6839,89.8
8100000,3,620,12760,209,28,0.0146,1.742,1.0000,75.2
8100000,5,439,13285,157,157,0.5125,7.321,1.0000,67.4
8100000,5,444,14070,111,89,0.4757,4.590,0.7978,52.7
8100000,1,257,12650,378,366,0.4214,5.323,0.9044,70.7
8100000,5,240,14625,55,0,0.0000,0.000,0.0000,56.3
8100000,3,574,14960,120,39,0.0173,0.947,0.5897,97.0
8100000,2,537,15070,118,113,0.3655,0.968,0.5487,101.1
8100000,1,201,15335,199,192,0.1970,1.164,0.6094,154.1
8100000,5,28,14900,329,292,0.3026,0.975,0.5890,136.7
8100000,2,511,16010,137,87,0.1631,0.561,0.3793,151.2
8100000,3,532,16245,142,122,0.0829,0.794,0.4508,138.9
8100000,5,489,16545,170,159,0.6819,1.010,0.6604,113.7
8100000,1,193,16790,243,238,0.8688,1.040,0.8403,71.7
8100000,2,192,17490,103,100,0.1927,2.920,0.9400,43.3
8100000,3,526,17750,51,30,0.0224,2.389,1.0000,39.2
8100000,5,49,17395,122,122,0.9075,1.338,1.0000,44.5
