seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
6700000,5,475,605,17,0,0.0000,0.000,0.0000,60.5
6700000,5,478,690,48,0,0.0000,0.000,0.0000,98.8
6700000,5,479,930,48,0,0.0000,0.000,0.0000,124.5
6700000,5,488,1170,48,0,0.0000,0.000,0.0000,127.0
6700000,5,485,1410,48,0,0.0000,0.000,0.0000,110.2
6700000,5,486,1650,48,0,0.0000,0.000,0.0000,84.4
6700000,5,491,1890,48,0,0.0000,0.000,0.0000,86.9
6700000,3,506,2170,155,84,0.0400,1.826,0.7381,70.3
6700000,5,474,2130,190,152,0.0712,3.293,0.8553,67.7
6700000,2,517,2345,132,54,0.0304,2.971,0.9259,66.2
6700000,1,578,2300,211,149,0.0255,2.764,0.9128,60.7
6700000,5,484,3080,130,130,0.0706,3.982,0.9692,73.2
6700000,3,577,3185,136,129,0.0411,3.555,0.9147,87.5
6700000,5,487,3730,201,197,0.3043,3.208,0.9340,107.1
6700000,2,505,3395,278,234,0.0631,4.374,0.9573,103.3
6700000,1,34,3835,251,229,0.3935,2.368,0.8734,97.4
6700000,5,473,4735,137,65,0.3425,1.086,0.7846,90.1
6700000,5,101,5420,169,152,0.3496,1.573,0.9276,108.0
6700000,3,543,5500,136,131,0.2593,1.665,0.8321,110.4
6700000,2,537,5845,137,111,0.0628,1.093,0.5946,99.3
6700000,5,489,6265,186,186,0.2025,2.340,1.0000,87.0
6700000,1,205,5670,351,340,0.2160,1.889,0.8882,85.4
6700000,5,26,7195,74,74,0.2771,1.432,0.5811,25.9
6700000,3,610,6645,188,89,0.0290,0.575,0.0000,60.0
6700000,5,53,7565,48,6,0.0095,1.195,1.0000,43.7
6700000,2,538,7230,97,9,0.0118,2.662,1.0000,32.4
6700000,5,289,7805,48,0,0.0000,0.000,0.0000,27.8
6700000,5,302,8045,48,0,0.0000,0.000,0.0000,75.6
6700000,3,523,8695,175,165,0.0692,0.341,0.0000,108.1
6700000,5,122,8285,352,310,0.5246,0.969,0.5065,108.1
6700000,1,181,8465,349,338,0.4370,0.896,0.4083,105.8
6700000,2,186,9000,345,337,0.3011,1.696,0.6766,99.1
6700000,3,621,10215,126,112,0.0430,0.239,0.0000,89.6
6700000,1,508,10300,232,223,0.5609,0.585,0.0673,83.5
6700000,5,143,10045,312,312,0.5649,1.073,0.3590,85.4
6700000,5,424,11605,116,102,0.0824,0.393,0.0000,91.5
6700000,2,620,11095,200,192,0.0879,0.299,0.0000,85.2
6700000,3,560,11630,178,12,0.0109,0.696,0.0000,102.7
6700000,2,579,12485,156,142,0.0716,0.645,0.1056,140.4
6700000,5,365,12185,238,173,0.3596,1.041,0.5491,132.4
6700000,3,584,13005,127,25,0.0167,1.448,0.6400,114.3
6700000,5,440,13375,125,125,0.6734,2.801,1.0000,91.8
6700000,1,525,12725,354,342,0.6170,2.059,0.8626,108.8
6700000,2,576,13650,174,103,0.0246,1.374,0.9223,92.2
6700000,5,451,14000,131,93,0.4414,1.297,0.7957,87.6
6700000,5,35,14655,103,0,0.0000,0.000,0.0000,48.0
6700000,5,460,15170,129,104,0.1322,0.922,0.7308,97.5
6700000,3,586,15250,125,113,0.0990,1.220,0.8053,93.7
6700000,5,441,15815,162,159,0.5077,3.874,0.8428,78.0
6700000,1,346,15415,234,178,0.3779,2.765,0.8146,82.8
6700000,2,159,16160,172,17,0.0104,0.645,0.0000,91.4
6700000,3,526,16835,112,52,0.0168,1.076,1.0000,104.8
6700000,5,437,16625,271,195,0.1593,2.908,0.7231,88.5
6700000,1,278,17005,190,95,0.0529,0.354,0.0000,83.6
6700000,2,79,17170,167,161,0.2157,4.637,0.8820,74.1
6700000,5,243,17980,5,5,0.7993,1.225,1.0000,4.0
