seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
4700000,5,367,605,114,114,0.5100,2.185,1.0000,69.4
4700000,1,54,605,216,211,0.4116,1.529,0.8199,60.0
4700000,2,600,605,217,211,0.2274,1.122,0.6019,60.1
4700000,3,179,685,218,211,0.0781,1.831,0.8768,60.4
4700000,5,242,1175,286,260,0.5617,0.787,0.3231,58.8
4700000,2,56,1860,200,187,0.2070,0.699,0.2567,56.3
4700000,5,239,2605,124,124,0.6788,0.626,0.0000,59.6
4700000,1,519,2015,314,305,0.6578,0.447,0.0000,73.6
4700000,5,376,3225,191,83,0.2464,0.201,0.0241,104.4
4700000,3,586,3650,149,31,0.0104,0.319,0.8065,79.6
4700000,5,436,4180,178,175,0.2377,1.164,0.4343,71.8
4700000,2,219,3875,221,128,0.0190,0.552,0.0547,70.8
4700000,5,414,5070,131,131,0.7011,2.145,0.8855,91.6
4700000,3,575,5235,173,0,0.0059,0.963,0.0000,74.2
4700000,1,509,4700,323,313,0.6831,2.465,0.8786,77.6
4700000,2,62,6055,153,128,0.5456,0.386,0.0000,65.5
4700000,3,145,6280,181,153,0.0525,1.216,0.8105,67.3
4700000,5,93,5725,335,323,0.5639,2.138,0.7090,65.7
4700000,1,161,6555,180,152,0.1210,1.648,0.9013,74.2
4700000,5,454,7400,123,9,0.0069,1.020,0.8889,85.6
4700000,5,373,8015,147,147,0.3704,2.421,0.9524,105.0
4700000,2,82,7455,239,84,0.0278,0.861,0.2976,97.5
4700000,5,8,8750,120,120,0.7209,7.652,1.0000,41.5
4700000,1,213,7695,375,300,0.4262,3.864,0.9667,75.2
4700000,5,392,9350,175,109,0.1583,0.974,0.2844,82.5
4700000,5,486,10225,138,125,0.1321,1.048,0.2000,119.6
4700000,2,607,9810,209,177,0.0535,0.249,0.0000,120.8
4700000,5,241,10915,59,59,0.4131,3.684,0.6102,42.0
4700000,1,336,10515,257,209,0.1500,1.468,0.3254,97.0
4700000,3,210,10330,297,195,0.0713,0.639,0.2769,103.2
4700000,5,117,11210,298,298,0.1219,0.377,0.0235,126.1
4700000,2,532,11580,235,222,0.0670,0.658,0.1577,126.2
4700000,5,322,12700,155,155,0.4580,3.966,0.8387,52.4
4700000,1,321,12220,236,191,0.2013,3.259,0.6649,80.4
4700000,3,533,12790,127,120,0.2564,1.233,0.7333,47.4
4700000,5,70,13475,48,30,0.0842,2.280,0.5667,36.2
4700000,2,188,13215,216,130,0.0842,2.422,0.6846,57.6
4700000,5,452,13715,164,118,0.1385,2.202,0.2542,83.2
4700000,1,60,13955,193,150,0.2187,0.410,0.0000,105.7
4700000,3,127,14730,154,0,0.0035,0.120,0.0000,108.5
4700000,5,51,14535,291,236,0.1930,0.999,0.5000,99.1
4700000,2,590,15045,275,198,0.0235,0.804,0.3586,92.3
4700000,5,385,15990,156,118,0.1762,1.241,0.7712,100.3
4700000,1,63,15275,284,244,0.1997,1.528,0.8648,89.2
4700000,5,29,16770,191,173,0.8282,0.930,0.4913,121.6
4700000,1,100,16850,165,159,0.9313,0.708,0.3019,123.6
4700000,2,515,16935,214,200,0.0900,0.694,0.2450,100.6
4700000,3,199,17160,169,166,0.1725,1.614,0.5120,90.0
4700000,5,463,17725,56,56,0.2718,2.492,1.0000,57.4
