seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
8100000,5,466,605,103,103,0.2480,2.524,1.0000,141.5
8100000,1,625,605,152,145,0.1912,1.962,0.8552,139.7
8100000,5,482,1120,181,181,0.1605,2.712,0.7790,76.7
8100000,3,224,1445,129,121,0.0957,3.361,0.8926,47.7
8100000,2,78,1255,254,242,0.1433,1.543,0.5041,52.6
8100000,1,189,2075,206,199,0.1793,1.898,0.9146,39.4
8100000,5,90,2025,244,232,0.2357,1.799,0.8836,44.7
8100000,3,179,2770,261,150,0.0264,1.707,0.7067,94.8
8100000,2,539,3745,143,70,0.0229,1.102,0.9571,85.0
8100000,5,40,3245,266,237,0.0943,1.367,0.6540,105.8
8100000,5,9,4575,72,60,0.0360,2.174,1.0000,143.1
8100000,1,188,3500,319,276,0.0741,1.504,0.8587,112.8
8100000,3,210,5045,209,9,0.0085,0.392,0.0000,136.0
8100000,2,218,5215,192,175,0.1306,0.399,0.0000,135.0
8100000,5,183,4935,317,279,0.5230,0.814,0.4050,129.9
8100000,1,493,5520,264,251,0.7236,0.936,0.4422,111.2
8100000,5,444,6520,160,56,0.2266,0.338,0.3571,75.2
8100000,5,449,7320,142,69,0.0320,0.224,0.0000,89.5
8100000,3,146,7505,211,126,0.0370,0.330,0.0000,71.2
8100000,1,172,7655,283,244,0.2784,0.386,0.0000,68.2
8100000,2,593,8195,187,169,0.2416,0.160,0.0000,62.5
8100000,5,311,8030,264,210,0.3938,0.307,0.0000,68.0
8100000,5,459,9350,138,110,0.2878,2.611,0.8818,100.1
8100000,5,452,10040,95,95,0.6580,2.287,1.0000,100.6
8100000,1,226,9465,322,303,0.4707,2.302,0.8383,89.0
8100000,5,380,10515,192,192,0.5287,5.467,1.0000,69.7
8100000,2,597,10675,205,196,0.3636,5.984,0.9388,71.5
8100000,5,451,11475,142,41,0.1154,2.008,0.8780,74.4
8100000,3,611,11495,171,0,0.0089,0.654,0.0000,74.2
8100000,5,69,12185,258,192,0.3504,1.473,0.9167,107.4
8100000,2,608,12650,203,188,0.1118,0.231,0.0000,117.3
8100000,5,410,13475,154,154,0.4782,2.195,0.8182,70.1
8100000,1,213,12485,332,321,0.4218,2.237,0.9190,100.8
8100000,5,295,14245,175,175,0.5743,3.076,0.8286,53.8
8100000,1,279,14430,207,195,0.4389,2.299,0.4615,86.9
8100000,3,155,13810,358,343,0.1229,0.788,0.3440,78.1
8100000,2,509,14640,205,195,0.2407,2.220,0.7385,106.8
8100000,5,629,15120,252,236,0.4548,2.176,0.5593,148.6
8100000,1,346,15700,151,142,0.4772,3.171,0.7606,150.1
8100000,5,386,16380,94,85,0.2721,1.436,0.6941,83.5
8100000,3,528,16470,124,119,0.1543,4.103,0.9244,65.6
8100000,5,305,16850,171,171,0.4247,2.495,0.9532,49.9
8100000,2,215,16570,208,202,0.2719,0.862,0.4158,54.3
8100000,1,580,17160,169,163,0.2791,4.307,0.8650,65.9
8100000,5,395,17705,60,60,0.2661,1.788,0.7167,85.8
