seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
5900000,5,469,605,123,123,0.2562,1.629,0.7561,100.1
5900000,2,224,605,183,178,0.2268,2.550,0.7079,98.6
5900000,3,618,770,167,149,0.0551,0.254,0.0000,97.6
5900000,5,473,1220,129,79,0.2564,1.034,0.5443,112.0
5900000,1,92,605,293,193,0.0872,0.674,0.3212,110.3
5900000,5,430,1865,188,107,0.0363,0.725,0.4112,119.9
5900000,1,58,2375,209,123,0.2700,1.386,0.8293,83.2
5900000,5,484,2805,154,154,0.4321,2.126,0.6753,69.5
5900000,3,574,3035,173,162,0.0623,1.489,0.4444,72.3
5900000,2,600,1950,396,316,0.0565,2.029,0.5348,89.5
5900000,1,251,3615,221,210,0.4049,0.807,0.4000,61.5
5900000,2,511,4215,136,107,0.1537,0.745,0.5234,60.6
5900000,5,119,3575,304,258,0.3747,0.700,0.2597,65.0
5900000,5,476,5095,156,131,0.2804,1.626,0.9618,94.9
5900000,5,181,5875,34,27,0.2129,1.487,0.7407,100.9
5900000,1,625,5160,223,158,0.1761,1.329,0.9241,110.9
5900000,2,125,5390,226,96,0.0710,0.642,0.9271,126.5
5900000,5,404,6045,167,129,0.0810,0.603,0.1628,157.8
5900000,3,567,6155,135,129,0.0999,0.718,0.1628,163.6
5900000,5,357,6880,86,0,0.0000,0.000,0.0000,34.2
5900000,5,380,7310,173,148,0.2381,4.002,1.0000,68.3
5900000,3,602,7405,159,145,0.1030,3.791,0.9931,71.1
5900000,5,7,8175,56,56,0.7729,5.965,1.0000,52.5
5900000,1,55,7635,214,182,0.3802,3.489,0.9725,64.3
5900000,2,80,7755,246,208,0.0434,1.817,1.0000,61.7
5900000,5,405,8455,129,85,0.1371,1.799,1.0000,46.3
5900000,5,40,9100,51,0,0.0000,0.000,0.0000,40.8
5900000,3,582,9450,147,143,0.1528,2.284,0.9161,78.5
5900000,5,363,9355,209,188,0.3802,1.206,0.6862,79.9
5900000,1,239,9490,223,80,0.0516,0.747,0.8000,78.1
5900000,5,451,10400,170,170,0.3679,0.642,0.0000,94.4
5900000,2,592,9640,341,334,0.3563,0.595,0.0000,93.4
5900000,3,129,11320,180,0,0.0013,0.282,0.0000,134.0
5900000,5,628,11250,217,157,0.3467,1.270,0.7962,139.8
5900000,2,219,11980,171,14,0.0085,0.292,0.0000,117.5
5900000,5,400,12335,166,166,0.6710,4.032,1.0000,95.4
5900000,5,16,13165,82,60,0.3707,3.566,0.8333,69.2
5900000,1,304,11525,398,367,0.5279,3.101,0.9292,100.5
5900000,5,328,13575,84,47,0.2533,0.497,0.5319,35.8
5900000,5,134,13995,48,48,0.3618,1.650,0.7917,67.5
5900000,5,8,14235,72,72,0.2852,3.876,0.9583,38.6
5900000,3,217,13740,176,169,0.3380,2.275,0.7811,44.3
5900000,5,426,14595,48,2,0.0062,0.008,0.0000,73.9
5900000,5,395,14835,48,0,0.0000,0.000,0.0000,71.3
5900000,5,486,15075,48,0,0.0000,0.000,0.0000,73.1
5900000,5,422,15315,195,114,0.1406,1.602,0.9825,60.2
5900000,2,536,15885,203,148,0.0823,2.385,0.8446,64.5
5900000,3,153,15950,219,128,0.0300,1.043,0.9219,70.0
5900000,5,368,16290,176,110,0.1066,1.297,0.8545,79.9
5900000,1,258,15670,373,104,0.0637,0.862,0.9038,75.8
5900000,5,440,17170,166,139,0.6992,0.784,0.2014,101.2
5900000,2,601,17280,145,140,0.3300,2.908,0.9429,102.4
5900000,3,102,17465,108,106,0.9652,0.304,0.0000,103.2
