seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
5900000,5,469,605,123,123,0.3692,1.494,0.7236,100.1
5900000,2,224,605,183,178,0.2240,2.494,0.7022,98.6
5900000,3,618,770,167,139,0.0497,0.249,0.0000,97.6
5900000,5,473,1220,129,128,0.3334,1.045,0.3359,112.0
5900000,1,92,605,293,252,0.1953,0.727,0.3770,110.3
5900000,5,430,1865,188,168,0.1386,1.399,0.8690,119.9
5900000,1,58,2375,209,198,0.3840,1.955,0.5455,83.2
5900000,5,484,2805,154,154,0.5305,2.718,0.7857,69.5
5900000,3,574,3035,173,162,0.0629,1.355,0.5370,72.3
5900000,2,600,1950,396,386,0.0986,2.505,0.7565,89.5
5900000,1,251,3615,221,216,0.4512,0.845,0.4074,61.5
5900000,2,511,4215,136,115,0.1744,0.813,0.6348,60.6
5900000,5,119,3575,313,261,0.4016,0.699,0.3525,66.0
5900000,5,476,5140,147,104,0.3317,1.276,0.8077,94.0
5900000,1,214,5335,216,206,0.1953,0.744,0.1068,69.2
5900000,2,125,5390,226,216,0.4476,1.983,0.8935,65.5
5900000,3,567,6155,119,111,0.0595,1.083,0.5135,48.6
5900000,5,181,5875,295,295,0.4377,2.001,0.8475,48.6
5900000,5,304,7350,97,97,0.5309,3.468,0.9175,19.7
5900000,1,239,6665,221,208,0.3030,0.786,0.3221,35.3
5900000,2,602,6875,219,212,0.2670,5.406,0.9245,38.1
5900000,5,40,7835,250,192,0.5414,1.996,0.9219,62.8
5900000,3,559,8360,147,143,0.6230,0.552,0.0000,44.9
5900000,1,355,8230,200,189,0.2695,2.679,0.6772,44.1
5900000,5,628,9085,53,35,0.2745,0.667,0.4000,31.1
5900000,2,535,8415,174,165,0.3538,1.026,0.4182,40.3
5900000,5,242,9350,48,0,0.0000,0.000,0.0000,60.1
5900000,5,453,9590,198,167,0.3474,1.604,0.9521,70.7
5900000,2,494,10035,121,115,0.0638,3.650,0.9130,75.2
5900000,3,594,9960,171,149,0.0603,0.811,0.5638,81.3
5900000,1,294,9730,239,183,0.2529,1.351,0.8798,81.6
5900000,5,426,10580,129,39,0.0277,0.224,0.2308,110.5
5900000,5,395,11225,131,84,0.0214,0.857,0.7738,91.9
5900000,5,486,11880,138,138,0.4045,1.732,0.8406,83.1
5900000,2,129,11600,194,136,0.0301,1.006,0.6544,80.6
5900000,3,592,11375,245,122,0.0197,0.924,0.6230,83.6
5900000,5,422,12570,35,35,0.3063,0.768,0.0000,116.6
5900000,1,301,12000,266,189,0.2479,0.944,0.4656,98.5
5900000,5,425,12745,168,127,0.1658,0.547,0.2205,94.8
5900000,2,55,13135,173,160,0.3645,1.015,0.5625,65.2
5900000,5,341,13585,143,143,0.4633,1.766,0.8252,60.5
5900000,3,582,13780,214,200,0.1607,0.890,0.3650,93.0
5900000,1,288,13955,209,71,0.0834,0.651,0.5915,97.4
5900000,5,371,14300,165,165,0.2884,1.282,0.4970,106.5
5900000,5,173,15125,177,177,0.6348,2.994,0.9661,24.9
5900000,2,217,14655,277,268,0.2732,2.134,0.8993,45.2
5900000,5,269,16010,56,56,0.8469,1.102,0.7679,23.0
5900000,5,37,16290,48,48,0.3233,1.079,0.5417,55.5
5900000,3,102,15650,198,191,0.5324,0.846,0.2775,33.0
5900000,1,310,15460,303,278,0.2986,1.643,0.5000,37.0
5900000,5,440,16530,155,155,0.2000,1.798,0.6968,52.1
5900000,2,97,16760,130,117,0.1649,2.235,0.7009,43.5
5900000,5,351,17305,51,16,0.1244,0.163,0.0000,36.9
5900000,1,347,17640,73,67,0.6110,3.420,0.8060,35.7
5900000,3,536,17795,42,35,0.2939,0.495,0.0000,28.5
5900000,5,290,17560,89,67,0.5690,2.338,0.8060,40.1
