seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
1700000,2,620,605,87,84,0.0908,0.311,0.0000,69.3
1700000,5,453,605,165,165,0.5936,6.367,1.0000,61.9
1700000,3,224,685,210,196,0.2504,0.569,0.0000,53.2
1700000,5,305,1430,194,194,0.6500,6.728,0.9948,35.7
1700000,1,597,605,354,348,0.4649,7.407,0.9856,47.5
1700000,2,194,1650,245,226,0.1931,1.218,0.4735,51.1
1700000,3,559,2565,116,6,0.0068,0.686,0.3333,72.9
1700000,5,105,2400,300,265,0.1732,1.285,0.5245,73.5
1700000,5,244,3900,154,154,0.8552,0.371,0.0000,51.5
1700000,1,89,2815,357,299,0.1995,0.706,0.2709,63.6
1700000,2,166,3415,296,182,0.1121,0.305,0.0110,64.9
1700000,5,426,4670,137,137,0.9887,0.286,0.0000,81.5
1700000,3,164,4040,278,267,0.9265,0.269,0.0000,66.7
1700000,2,218,5585,125,117,0.1942,0.463,0.0000,75.5
1700000,3,591,6195,136,108,0.0459,0.587,0.0000,65.4
1700000,5,211,5355,341,297,0.3163,1.558,0.7172,67.7
1700000,1,188,5845,368,344,0.2627,1.826,0.9128,59.2
1700000,5,422,7060,150,150,0.3640,2.021,0.8800,50.3
1700000,2,39,6695,231,205,0.2318,1.793,0.4976,48.4
1700000,3,219,8210,111,96,0.1464,1.368,0.7812,61.7
1700000,2,55,8335,158,148,0.2745,0.987,0.4189,68.3
1700000,5,233,7810,313,197,0.2321,1.313,0.7411,68.2
1700000,1,217,8160,245,195,0.1098,2.615,0.9385,77.3
1700000,5,467,9375,178,31,0.0426,1.041,0.1290,122.6
1700000,2,526,9715,231,23,0.0117,2.058,1.0000,98.8
1700000,5,414,10265,143,143,0.3029,1.333,0.5524,85.9
1700000,1,292,9815,248,182,0.2076,0.893,0.4725,92.5
1700000,3,178,10450,210,149,0.0621,1.947,0.9530,71.1
1700000,2,606,11440,170,155,0.2967,0.692,0.1548,43.3
1700000,5,337,10980,288,287,0.3721,2.010,0.8014,50.3
1700000,1,197,11605,302,277,0.2184,2.069,0.9422,51.3
1700000,5,107,12420,293,284,0.1192,1.460,0.7007,77.6
1700000,3,130,12900,201,135,0.0317,0.646,0.0741,88.5
1700000,5,448,13885,193,173,0.1452,1.024,0.2601,124.8
1700000,2,507,13080,338,207,0.0323,1.304,0.8454,109.3
1700000,1,100,13505,332,220,0.0915,0.928,0.2136,119.8
1700000,5,436,14850,220,125,0.1132,1.306,0.6080,116.8
1700000,2,212,15120,240,128,0.0915,2.104,0.9141,101.8
1700000,1,273,15255,253,133,0.0669,0.762,0.4436,90.0
1700000,5,85,15950,228,228,0.2263,2.086,0.5526,49.9
1700000,3,611,16135,182,166,0.0575,0.452,0.0000,46.7
1700000,5,86,17090,48,48,0.3408,1.544,0.6458,38.1
1700000,5,486,17330,48,48,0.3621,1.768,0.9167,41.5
1700000,5,247,17570,48,48,0.5506,2.408,1.0000,28.0
1700000,1,248,16645,263,254,0.3687,2.187,0.8543,34.7
1700000,5,106,17810,39,25,0.1734,0.612,0.5200,50.2
