seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
3100000,5,327,605,91,91,0.7595,0.748,0.3077,44.1
3100000,2,555,605,199,195,0.1347,0.808,0.3436,80.6
3100000,1,323,605,221,49,0.0740,0.358,0.6735,84.1
3100000,5,473,1060,153,153,0.7183,0.137,0.0000,108.5
3100000,3,164,705,231,220,0.6770,0.122,0.0000,89.5
3100000,5,450,1825,146,94,0.2493,2.140,0.6702,76.6
3100000,5,110,2555,37,37,0.8319,0.820,0.1892,46.2
3100000,5,248,2740,182,182,0.8471,1.343,0.8187,29.3
3100000,3,562,2815,152,46,0.0148,0.549,0.2609,29.4
3100000,1,599,2085,319,308,0.3116,3.040,0.9481,44.8
3100000,5,287,3650,50,21,0.2165,0.127,0.0000,45.6
3100000,2,100,2315,298,277,0.5612,0.253,0.0000,38.3
3100000,3,613,4295,123,94,0.0410,0.291,0.0000,87.6
3100000,5,67,3900,243,201,0.3881,0.547,0.1045,92.2
3100000,1,232,4080,279,262,0.3326,0.695,0.1870,82.5
3100000,5,241,5115,150,150,0.1880,1.210,0.8733,88.2
3100000,2,75,4445,340,332,0.1236,1.030,0.5482,85.1
3100000,5,477,5865,129,129,0.0537,1.995,0.9380,91.1
3100000,3,571,5975,190,176,0.0392,2.050,0.9261,73.5
3100000,5,432,6510,191,191,0.1816,1.775,0.8168,55.3
3100000,5,275,7465,53,53,0.5676,2.790,1.0000,23.3
3100000,2,61,6770,239,225,0.2859,1.515,0.7778,50.0
3100000,5,86,7730,219,219,0.5588,2.223,0.9087,59.3
3100000,1,305,7905,251,244,0.5548,2.104,0.8689,66.1
3100000,3,83,7790,317,310,0.0973,0.820,0.3581,69.1
3100000,5,455,8825,199,179,0.4596,2.453,0.6313,81.0
3100000,5,383,9820,201,201,0.5219,2.832,1.0000,78.4
3100000,1,247,9445,323,314,0.3849,3.680,0.8376,77.7
3100000,5,334,10825,193,193,0.6715,1.195,0.5078,53.7
3100000,2,135,9960,358,347,0.3665,1.002,0.4726,65.8
3100000,5,71,11790,48,48,0.9998,0.495,0.0000,92.0
3100000,5,367,12030,48,48,0.9310,0.703,0.0833,93.4
3100000,3,104,11385,176,171,0.9626,0.319,0.0000,68.8
3100000,5,154,12270,48,48,0.3094,1.929,1.0000,59.2
3100000,5,393,12510,48,48,0.2670,1.861,1.0000,54.5
3100000,5,53,12750,48,48,0.2600,1.489,1.0000,66.5
3100000,1,600,11280,382,371,0.2564,1.460,0.7817,66.5
3100000,5,474,12990,186,139,0.2527,2.781,0.7626,67.3
3100000,5,441,13920,108,108,0.4968,2.829,1.0000,39.3
3100000,3,553,13980,100,94,0.1060,0.818,0.3936,37.9
3100000,5,260,14460,197,197,0.4618,1.676,0.7310,44.2
3100000,2,141,13375,398,387,0.3854,2.544,0.8114,43.0
3100000,5,428,15445,129,129,0.6749,1.808,0.7132,127.9
3100000,2,96,15690,148,142,0.9595,0.709,0.2535,171.7
3100000,1,191,14965,310,301,0.1958,2.631,0.9136,125.2
3100000,3,179,15760,201,191,0.0438,0.657,0.2984,175.0
3100000,5,24,16090,245,245,0.3895,1.028,0.5878,137.1
3100000,5,410,17315,123,123,0.6478,1.504,0.8780,69.9
3100000,1,341,17405,120,115,0.3196,1.656,0.8609,68.6
3100000,2,519,16605,280,277,0.3566,1.138,0.6390,78.5
3100000,5,401,17930,15,15,0.8288,2.228,1.0000,63.5
