seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
7300000,5,408,605,165,165,0.8361,0.628,0.0606,66.4
7300000,1,249,605,187,175,0.2267,0.733,0.1543,64.2
7300000,2,169,605,207,197,0.2589,0.645,0.2690,61.9
7300000,3,102,835,282,273,0.9338,0.425,0.0000,50.3
7300000,5,90,1430,227,197,0.7110,0.410,0.0000,52.1
7300000,2,174,2790,178,137,0.0317,0.651,0.2482,193.3
7300000,5,26,2565,288,206,0.3881,0.419,0.0922,169.1
7300000,1,296,1955,398,125,0.0667,0.163,0.1440,138.2
7300000,3,62,3450,144,138,0.9583,0.249,0.0000,131.6
7300000,5,421,4005,142,124,0.4404,0.895,0.4032,69.4
7300000,5,260,4715,57,57,0.4478,2.891,1.0000,26.6
7300000,1,329,4255,191,179,0.2781,1.425,0.5810,51.5
7300000,2,502,4210,261,230,0.1252,3.044,0.8565,60.1
7300000,5,401,5000,169,166,0.1495,2.195,0.9096,75.1
7300000,3,82,5320,258,242,0.0367,1.623,0.8223,72.1
7300000,5,373,5845,188,188,0.1769,4.143,0.8245,68.9
7300000,2,492,5970,283,120,0.0822,3.381,1.0000,65.0
7300000,1,92,6265,251,232,0.0924,0.952,0.3922,65.7
7300000,5,362,6785,317,313,0.4745,1.498,0.7796,71.4
7300000,3,536,7485,214,209,0.6094,1.023,0.4354,71.7
7300000,1,161,7630,284,271,0.2798,2.272,0.8819,62.6
7300000,5,326,8370,187,187,0.4162,1.736,0.7701,59.6
7300000,2,195,7925,310,299,0.1752,1.308,0.7559,67.9
7300000,5,46,9305,284,261,0.5579,0.745,0.3602,59.8
7300000,3,569,9850,213,201,0.3037,0.356,0.0000,34.7
7300000,2,579,10200,190,180,0.0964,0.861,0.2889,30.4
7300000,5,356,10725,113,111,0.5734,1.520,0.9009,35.8
7300000,1,172,9475,364,344,0.5587,0.983,0.5262,47.5
7300000,5,469,11290,115,0,0.0000,0.000,0.0000,77.1
7300000,5,177,11865,269,254,0.5569,2.641,0.8661,75.1
7300000,1,230,11920,297,243,0.3665,2.346,0.8930,84.0
7300000,3,199,12340,226,217,0.1360,0.522,0.0000,92.0
7300000,2,145,12175,370,362,0.2244,1.111,0.6077,89.6
7300000,5,407,13210,217,217,0.3312,1.351,0.5622,97.0
7300000,5,392,14295,201,201,0.6184,4.019,1.0000,66.9
7300000,1,123,13780,301,293,0.4880,3.077,0.9420,67.4
7300000,3,104,14445,258,250,0.2511,2.259,0.9120,71.2
7300000,5,429,15300,124,124,0.3234,2.260,0.8145,83.2
7300000,2,164,14700,335,127,0.0229,0.792,0.9055,108.8
7300000,1,258,15535,282,205,0.1477,0.521,0.1951,135.2
7300000,5,632,15920,260,200,0.4222,0.462,0.0850,135.5
7300000,3,98,16685,162,151,0.8561,0.734,0.3377,77.4
7300000,5,375,17220,134,49,0.3372,0.437,0.6939,77.6
7300000,5,452,17890,23,0,0.0000,0.000,0.0000,105.7
