seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
1700000,2,620,605,87,83,0.0877,0.265,0.0000,69.3
1700000,5,453,605,165,165,0.6730,7.224,1.0000,61.9
1700000,3,184,690,153,146,0.3855,0.511,0.0000,60.4
1700000,5,305,1430,194,194,0.6834,6.647,1.0000,36.6
1700000,1,597,605,354,348,0.5035,7.317,0.9770,47.6
1700000,2,189,1650,150,141,0.1576,0.391,0.0142,37.2
1700000,3,559,2000,134,127,0.2843,1.185,0.5748,61.0
1700000,5,105,2400,300,280,0.3697,0.974,0.4464,73.2
1700000,2,166,2740,212,206,0.3261,0.721,0.1893,74.3
1700000,1,548,2815,247,233,0.1710,1.240,0.5708,63.9
1700000,5,244,3900,55,19,0.0510,0.345,0.6316,51.4
1700000,5,374,4175,146,103,0.2915,0.938,0.6990,65.1
1700000,1,140,4375,227,220,0.3919,0.998,0.4545,53.1
1700000,5,211,4905,285,285,0.3948,0.816,0.2421,68.3
1700000,3,164,5140,305,286,0.1382,0.313,0.0000,73.1
1700000,5,420,6330,140,140,0.3709,4.032,0.9714,65.4
1700000,2,104,5445,335,325,0.2274,1.211,0.4400,72.9
1700000,5,381,7030,90,90,0.5261,6.459,1.0000,59.4
1700000,5,154,7480,12,12,0.5297,2.979,1.0000,58.6
1700000,1,625,6735,228,221,0.5218,4.896,0.9095,59.9
1700000,3,596,7730,136,0,0.0000,0.000,0.0000,62.1
1700000,5,357,7540,220,159,0.2910,1.791,0.8553,66.5
1700000,5,426,8640,192,192,0.3541,2.258,0.9792,114.3
1700000,2,114,8135,285,276,0.2886,2.418,0.9493,101.5
1700000,5,422,9600,170,170,0.3541,2.177,0.8471,57.2
1700000,3,175,9230,303,293,0.2508,1.699,0.7679,58.4
1700000,1,255,8920,380,215,0.1699,1.242,0.8605,69.1
1700000,5,233,10450,223,180,0.4374,3.134,0.8722,37.2
1700000,5,414,11565,181,181,0.4628,2.567,0.8840,72.6
1700000,2,191,11240,248,240,0.2252,2.575,0.8833,62.3
1700000,1,116,10990,319,306,0.3126,2.955,0.8366,62.3
1700000,5,448,12470,200,173,0.3274,1.251,0.8208,92.4
1700000,3,591,12885,156,144,0.0855,0.868,0.5000,92.3
1700000,1,185,12670,207,199,0.2816,1.447,0.7789,93.4
1700000,2,526,13010,145,40,0.0098,0.703,0.9000,95.5
1700000,5,436,13470,245,174,0.1845,0.755,0.4368,97.4
1700000,1,324,14030,175,142,0.1029,0.378,0.0493,77.2
1700000,5,85,14695,120,120,0.3079,3.026,0.9417,41.6
1700000,3,130,14145,221,214,0.2131,1.821,0.7056,61.9
1700000,2,78,14315,250,240,0.0917,1.614,0.8250,62.2
1700000,5,86,15295,170,150,0.3864,2.992,0.7533,73.0
1700000,3,203,15835,127,122,0.2133,1.313,0.8443,65.1
1700000,1,274,15620,211,204,0.4939,4.650,0.9216,68.7
1700000,5,486,16145,178,162,0.3942,5.259,1.0000,70.7
1700000,5,8,17035,37,31,0.2027,4.959,1.0000,89.5
1700000,2,502,16550,266,209,0.1910,4.401,0.9617,74.1
1700000,1,519,17330,135,127,0.5451,1.419,0.7717,69.5
1700000,3,212,17495,102,91,0.7873,0.153,0.0000,68.3
1700000,5,361,17220,157,154,0.7823,1.859,0.3896,70.0
