seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
3100000,5,327,605,91,91,0.7889,0.689,0.3077,44.1
3100000,2,555,605,199,195,0.1347,0.807,0.3436,80.6
3100000,1,323,605,221,44,0.0591,0.314,0.8636,84.4
3100000,5,473,1060,153,153,0.9845,0.123,0.0000,110.2
3100000,3,164,705,231,220,0.9013,0.112,0.0000,91.0
3100000,5,110,1825,130,74,0.1538,2.130,0.9324,70.7
3100000,5,67,2475,57,57,0.3151,3.628,1.0000,21.4
3100000,5,241,2760,48,37,0.1710,1.362,0.7297,62.2
3100000,1,599,2085,319,170,0.1470,1.860,0.9000,67.2
3100000,3,100,3020,136,130,0.9353,0.853,0.4154,90.9
3100000,5,477,3000,193,130,0.6598,0.627,0.4154,82.0
3100000,5,86,3965,194,142,0.6133,3.202,0.9930,47.8
3100000,2,562,4055,178,26,0.0102,2.015,1.0000,48.9
3100000,3,566,4465,161,8,0.0066,0.606,0.0000,48.9
3100000,1,27,4260,257,226,0.8024,3.673,0.9823,49.0
3100000,5,248,4935,155,110,0.5759,3.356,0.9545,57.1
3100000,2,232,5295,168,19,0.0152,0.140,0.5789,100.8
3100000,5,455,5710,142,0,0.0000,0.000,0.0000,112.3
3100000,5,383,6420,184,132,0.3115,1.608,0.8939,61.2
3100000,1,61,6500,197,155,0.1115,1.185,0.8710,53.7
3100000,5,287,7340,73,73,0.5824,3.706,1.0000,32.8
3100000,2,600,6730,240,233,0.2388,1.844,0.9399,47.1
3100000,3,190,6915,287,282,0.3359,3.039,0.9681,42.7
3100000,5,389,7705,150,150,0.7213,2.536,0.5067,39.2
3100000,5,275,8455,109,109,0.8892,0.881,0.2661,34.0
3100000,1,104,8040,199,189,0.8515,0.479,0.0000,37.1
3100000,3,141,8605,211,206,0.2964,2.552,0.9126,65.3
3100000,2,224,9310,173,157,0.1329,3.549,0.7452,92.2
3100000,5,445,9000,259,222,0.2432,2.137,0.8153,93.2
3100000,1,305,9460,230,0,0.0000,0.004,0.0000,93.1
3100000,5,380,10295,147,97,0.2010,0.178,0.0000,91.1
3100000,2,613,10530,191,184,0.3055,0.249,0.0000,102.3
3100000,5,488,11030,157,87,0.1835,0.136,0.0000,114.6
3100000,5,394,11815,185,98,0.0353,0.730,0.6122,126.7
3100000,3,618,12155,161,0,0.0002,0.210,0.0000,125.9
3100000,1,189,12370,208,168,0.0785,1.036,0.4940,122.6
3100000,5,393,12740,176,154,0.1653,1.158,0.9545,102.6
3100000,2,184,12070,295,252,0.0707,1.187,0.8571,118.4
3100000,5,247,13620,58,0,0.0000,0.000,0.0000,16.0
3100000,5,53,13910,48,0,0.0000,0.000,0.0000,47.6
3100000,5,431,14150,151,124,0.3040,3.175,1.0000,67.4
3100000,1,162,14225,231,196,0.3367,2.773,0.9643,64.3
3100000,5,474,14905,156,156,0.2821,1.458,0.5513,71.3
3100000,3,75,14535,246,4,0.0107,1.514,1.0000,69.7
3100000,2,571,15170,193,189,0.1256,0.490,0.0053,94.8
3100000,5,441,15685,126,126,0.7935,0.628,0.0000,111.4
3100000,5,266,16315,150,150,0.9283,0.927,0.3133,74.6
3100000,3,619,16610,84,76,0.0876,0.183,0.0000,71.8
3100000,1,168,15760,255,242,0.8926,0.554,0.0000,90.3
3100000,2,580,16675,200,191,0.2766,1.727,0.8691,112.4
3100000,1,186,17555,90,65,0.1717,1.280,0.8000,127.4
3100000,3,553,17630,75,0,0.0025,0.472,0.0000,125.9
3100000,5,428,17065,188,183,0.2176,1.888,0.8798,130.9
