seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
7300000,5,408,605,165,165,0.8645,0.616,0.0606,66.4
7300000,1,249,605,187,162,0.1345,0.675,0.2346,64.2
7300000,2,169,605,207,198,0.2835,0.648,0.2374,61.9
7300000,3,102,835,282,274,0.9399,0.468,0.0000,50.3
7300000,5,90,1430,227,188,0.7015,0.413,0.0000,52.1
7300000,2,174,2790,178,0,0.0000,0.000,0.0000,193.3
7300000,5,26,2565,288,108,0.3750,0.105,0.0000,169.1
7300000,1,296,1955,398,65,0.0206,0.077,0.0000,138.2
7300000,3,62,3450,144,138,0.9583,0.250,0.0000,131.6
7300000,5,421,4005,142,124,0.3730,1.212,0.5323,69.4
7300000,5,260,4715,57,57,0.4007,2.979,1.0000,26.6
7300000,1,329,4255,191,140,0.1671,1.154,0.6214,51.5
7300000,2,502,4210,261,230,0.1267,3.177,0.8565,60.1
7300000,5,401,5000,169,95,0.0967,2.240,0.7474,75.1
7300000,3,82,5160,247,34,0.0094,1.373,0.0588,75.5
7300000,5,373,5845,188,157,0.1485,1.043,0.1338,75.0
7300000,2,569,5970,195,181,0.1326,0.766,0.2431,75.4
7300000,1,325,6265,165,71,0.0148,0.319,0.0986,78.8
7300000,3,579,7225,180,17,0.0112,0.722,0.9412,76.3
7300000,5,362,6785,317,217,0.1179,1.406,0.7926,76.7
7300000,2,536,7445,203,164,0.0653,1.982,0.9024,67.7
7300000,5,339,8370,178,178,0.6112,2.542,0.6348,47.4
7300000,1,625,7510,334,300,0.2247,2.675,0.9633,57.1
7300000,3,164,8865,234,210,0.6194,0.117,0.0000,61.2
7300000,5,46,9260,241,241,0.8740,3.144,0.6888,51.8
7300000,5,326,10465,148,129,0.6836,3.502,1.0000,29.8
7300000,1,92,9480,333,301,0.7071,3.643,0.9867,37.8
7300000,2,161,9650,350,268,0.0898,1.362,0.9291,40.3
7300000,5,469,11205,134,100,0.7208,0.717,0.4400,76.3
7300000,3,98,11360,141,133,0.8996,0.581,0.0000,78.5
7300000,5,368,11875,169,169,0.5233,1.699,0.9290,101.8
7300000,1,195,11515,272,262,0.4031,1.678,0.8626,90.9
7300000,2,560,12190,180,163,0.0713,0.530,0.0368,91.6
7300000,5,392,12720,180,164,0.4152,0.732,0.3110,72.4
7300000,3,517,12995,136,65,0.0390,1.187,0.6154,73.7
7300000,5,429,13620,112,112,0.8233,0.542,0.0714,77.8
7300000,1,172,13225,255,246,0.3882,1.545,0.6220,85.9
7300000,2,132,13740,238,224,0.8850,0.455,0.0312,67.3
7300000,3,616,14530,153,144,0.3749,0.291,0.0000,43.2
7300000,5,632,14180,346,219,0.4772,0.300,0.1324,86.4
7300000,5,375,15910,141,107,0.0700,1.524,0.9065,104.1
7300000,5,452,16615,129,88,0.0526,0.769,0.7045,135.3
7300000,2,145,16030,241,195,0.0691,1.303,0.8154,117.3
7300000,1,356,17530,95,0,0.0000,0.000,0.0000,168.1
7300000,2,620,17730,55,0,0.0000,0.000,0.0000,153.4
7300000,3,523,17370,127,0,0.0000,0.000,0.0000,178.1
7300000,5,28,17260,149,0,0.0000,0.000,0.0000,183.6
