seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
2300000,1,288,605,157,130,0.1089,0.386,0.0000,127.7
2300000,5,71,605,280,280,0.9776,0.392,0.0000,100.0
2300000,3,562,1070,194,35,0.0110,0.740,0.6571,80.6
2300000,2,166,620,339,330,0.9664,0.408,0.0000,85.3
2300000,1,542,2470,144,132,0.1526,1.560,0.9091,57.0
2300000,5,293,2005,270,189,0.2952,1.040,0.6349,54.0
2300000,3,522,2565,178,71,0.0212,1.145,1.0000,82.2
2300000,5,117,3355,206,144,0.2245,0.535,0.0903,139.1
2300000,2,563,3715,226,183,0.1913,0.804,0.3443,109.2
2300000,1,246,3585,262,201,0.1237,0.460,0.0199,112.4
2300000,5,436,4385,153,132,0.2040,1.838,0.7652,75.2
2300000,3,507,4510,192,123,0.0569,2.930,0.9675,67.5
2300000,5,441,5150,183,173,0.4230,3.605,1.0000,65.9
2300000,5,239,6065,129,129,0.6390,1.815,1.0000,62.3
2300000,2,184,5600,248,240,0.4153,1.378,0.8667,67.3
2300000,1,272,5240,395,312,0.2242,2.099,0.8429,67.4
2300000,5,478,6710,192,35,0.0643,1.335,0.4571,69.4
2300000,2,575,7160,138,0,0.0021,1.597,0.0000,58.2
2300000,5,280,7670,126,21,0.0076,0.649,1.0000,42.9
2300000,3,579,8010,169,21,0.0085,0.998,1.0000,88.5
2300000,5,394,8300,158,0,0.0030,0.550,0.0000,113.2
2300000,1,59,9440,157,134,0.1966,0.465,0.0000,114.5
2300000,5,122,9090,312,231,0.2672,0.907,0.2251,109.1
2300000,3,150,9665,197,185,0.1110,0.241,0.0000,107.9
2300000,2,581,9585,253,246,0.2101,2.130,0.6463,102.2
2300000,5,428,10650,144,124,0.4226,3.793,0.9516,63.0
2300000,1,265,10890,205,173,0.3464,2.024,0.6069,57.9
2300000,2,619,11635,142,102,0.0294,0.862,0.7843,64.2
2300000,5,47,11370,229,229,0.1462,1.826,0.6419,62.3
2300000,3,190,11825,162,132,0.0531,2.486,0.9773,67.4
2300000,5,376,12515,210,106,0.3844,0.826,0.8396,66.3
2300000,1,536,13045,255,247,0.7149,1.190,0.6883,91.2
2300000,5,452,13565,180,147,0.5682,1.236,0.5782,109.9
2300000,3,179,13770,234,66,0.0110,1.308,0.8030,101.1
2300000,5,37,14465,231,216,0.2627,4.920,0.9583,80.0
2300000,5,273,15620,97,97,0.3470,2.077,1.0000,40.4
2300000,1,597,14560,398,377,0.2219,3.154,0.7560,66.0
2300000,2,580,15000,398,383,0.1164,2.051,0.8956,64.6
2300000,5,93,16105,341,319,0.2666,1.673,0.8589,62.6
2300000,3,145,16450,269,239,0.1953,1.770,0.9665,60.7
2300000,1,344,17160,169,58,0.0502,0.126,0.0000,61.4
2300000,2,220,17915,18,4,0.0088,1.285,1.0000,58.1
2300000,5,405,17810,39,4,0.0040,0.593,1.0000,54.9
