seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
2300000,1,288,605,157,150,0.2541,0.506,0.0000,127.7
2300000,5,71,605,280,280,0.9810,0.419,0.0000,100.0
2300000,3,562,1070,194,95,0.0231,0.734,0.5579,80.6
2300000,2,166,620,339,330,0.9664,0.409,0.0000,85.3
2300000,1,542,2470,144,138,0.2012,1.468,0.8478,57.0
2300000,5,293,2005,270,195,0.3257,0.978,0.6000,54.0
2300000,3,522,2565,178,76,0.0304,1.000,0.8947,82.2
2300000,5,117,3355,206,155,0.3845,0.659,0.2000,139.1
2300000,2,563,3715,226,211,0.3742,0.951,0.3697,109.2
2300000,1,246,3585,262,252,0.2590,0.627,0.0357,112.4
2300000,5,436,4385,153,127,0.3908,2.581,0.7244,75.2
2300000,3,507,4510,192,153,0.0834,4.192,0.9346,67.5
2300000,5,441,5150,183,181,0.5416,4.021,0.9669,65.9
2300000,5,239,6065,129,129,0.6873,1.746,1.0000,62.3
2300000,2,184,5600,248,240,0.4271,1.304,0.8542,67.3
2300000,1,272,5240,395,368,0.3209,2.275,0.7283,67.4
2300000,5,478,6710,192,82,0.0879,1.749,0.2439,69.4
2300000,2,575,7160,138,3,0.0091,2.757,1.0000,58.2
2300000,5,280,7670,126,51,0.0151,1.582,0.9216,42.9
2300000,3,579,8010,169,127,0.0267,1.563,0.9685,88.5
2300000,5,394,8300,158,76,0.0166,0.969,1.0000,113.2
2300000,1,59,9440,157,149,0.3481,0.486,0.0000,114.5
2300000,5,122,9090,312,238,0.3228,0.893,0.2143,109.1
2300000,3,150,9665,197,183,0.1053,0.232,0.0000,107.9
2300000,2,581,9585,253,245,0.2089,2.105,0.6327,102.2
2300000,5,428,10650,144,130,0.5055,4.293,0.9385,63.0
2300000,1,265,10890,205,192,0.4587,2.396,0.5938,57.9
2300000,2,619,11635,142,131,0.0820,0.850,0.6565,64.2
2300000,5,47,11370,229,229,0.2497,1.729,0.6550,62.3
2300000,3,190,11825,162,155,0.1020,2.630,0.8968,67.4
2300000,5,376,12515,210,120,0.3937,1.065,0.8250,66.3
2300000,1,536,13045,255,247,0.7206,1.211,0.7085,91.2
2300000,5,452,13565,180,180,0.5909,1.149,0.7167,109.9
2300000,3,179,13770,234,225,0.0487,1.696,0.8800,101.1
2300000,5,37,14465,231,231,0.3928,3.729,0.8701,80.0
2300000,5,273,15620,97,97,0.4685,2.535,1.0000,40.4
2300000,1,597,14560,398,386,0.3650,2.840,0.7383,66.0
2300000,2,580,15000,398,387,0.1587,2.622,0.9535,64.6
2300000,5,93,16105,341,332,0.4210,2.439,0.9488,62.6
2300000,3,145,16450,269,259,0.3100,2.104,0.9344,60.7
2300000,1,344,17160,169,62,0.0643,0.160,0.0000,61.4
2300000,2,554,17915,18,14,0.0310,1.001,0.6429,58.1
2300000,5,405,17810,39,14,0.0143,0.462,0.6429,54.9
