seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
6700000,5,406,605,91,91,0.2753,2.707,1.0000,92.7
6700000,1,293,605,163,158,0.2558,2.182,0.8987,81.3
6700000,2,55,620,178,154,0.2054,0.696,0.3247,79.8
6700000,5,266,1060,229,229,0.8665,1.289,0.6288,72.7
6700000,5,380,2205,124,124,1.0000,2.570,1.0000,81.2
6700000,3,74,1375,311,306,0.9756,1.399,0.6830,76.6
6700000,5,335,2825,161,161,0.5930,1.954,0.6025,51.7
6700000,1,109,1725,396,382,0.3788,2.048,0.5707,67.7
6700000,2,549,3025,218,209,0.0960,0.854,0.4306,50.8
6700000,1,191,3995,201,190,0.5252,0.354,0.0105,110.9
6700000,5,71,3630,319,319,0.6713,0.875,0.3417,91.1
6700000,3,149,4125,217,209,0.6262,0.553,0.2105,107.9
6700000,2,558,4600,207,199,0.6380,0.255,0.0000,89.4
6700000,5,47,5225,256,256,0.4216,1.130,0.5430,76.2
6700000,3,574,5925,140,0,0.0054,0.540,0.0000,60.5
6700000,1,92,5365,276,261,0.2777,1.131,0.5019,69.0
6700000,2,545,5870,182,168,0.1280,3.355,0.9583,58.1
6700000,5,248,6505,126,52,0.1883,0.992,0.8654,35.7
6700000,5,342,7135,52,0,0.0000,0.000,0.0000,38.4
6700000,3,495,7525,223,116,0.1694,1.142,0.7586,119.9
6700000,5,369,7395,283,254,0.6282,1.646,0.9764,113.2
6700000,1,224,7785,215,207,0.2124,1.435,0.8068,128.4
6700000,2,141,7635,299,293,0.6854,1.321,0.5631,115.6
6700000,5,479,8810,134,61,0.4250,0.808,0.8525,109.9
6700000,5,400,9480,125,87,0.1704,1.263,0.9655,128.4
6700000,3,575,10200,119,0,0.0010,0.044,0.0000,148.1
6700000,1,114,9600,350,324,0.1878,1.492,0.9506,135.1
6700000,5,121,10105,293,281,0.1843,1.282,0.8363,135.3
6700000,2,521,10415,244,181,0.0415,0.506,0.1050,136.7
6700000,5,470,11570,161,55,0.0444,0.786,0.4545,107.4
6700000,3,160,11770,345,273,0.1337,2.037,0.8791,78.0
6700000,1,261,12420,233,214,0.3009,4.827,0.9206,64.0
6700000,5,154,12375,282,282,0.3802,4.963,0.9504,63.7
6700000,2,195,12675,331,321,0.1305,4.219,0.9751,60.5
6700000,5,277,13785,201,201,0.2574,4.654,1.0000,54.7
6700000,3,602,14050,205,180,0.1114,3.044,0.9778,65.1
6700000,1,251,14200,242,105,0.1005,1.957,0.8857,79.3
6700000,5,473,14790,165,109,0.0761,0.850,0.3853,98.0
6700000,5,286,15615,148,148,0.4997,1.241,0.8041,66.9
6700000,2,185,15190,228,198,0.1474,0.431,0.0303,79.2
6700000,3,607,15765,223,166,0.0308,0.191,0.0000,59.5
6700000,1,264,15680,267,251,0.3525,1.115,0.5936,58.9
6700000,5,319,16355,168,122,0.2385,0.847,0.2213,51.2
6700000,2,616,16845,122,19,0.0096,0.403,0.0000,53.5
6700000,5,388,17195,117,0,0.0000,0.004,0.0000,70.5
6700000,3,564,17455,110,14,0.0053,0.504,0.8571,68.5
6700000,5,10,17780,45,14,0.0129,1.233,0.8571,46.6
