seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
4700000,5,367,605,114,114,0.6225,2.800,1.0000,69.4
4700000,1,54,605,216,211,0.5439,1.876,0.8673,60.0
4700000,2,600,605,217,211,0.2229,1.062,0.6161,60.1
4700000,3,179,685,218,211,0.0773,1.760,0.8957,60.4
4700000,5,242,1175,286,260,0.6027,0.819,0.3192,58.8
4700000,2,56,1860,200,188,0.3404,0.536,0.0585,56.3
4700000,5,239,2605,124,124,0.6962,0.592,0.0000,59.6
4700000,1,519,2015,314,304,0.6330,0.436,0.0000,73.6
4700000,5,376,3225,191,173,0.2917,0.857,0.3064,108.2
4700000,3,586,3615,142,128,0.0762,1.422,0.8125,94.7
4700000,2,219,3845,165,139,0.1499,0.394,0.0000,93.7
4700000,5,436,4180,178,157,0.3208,1.466,0.3758,85.4
4700000,5,414,5070,131,131,0.6738,4.143,1.0000,60.7
4700000,2,575,5370,127,15,0.0074,1.197,0.7333,52.7
4700000,1,509,4700,323,313,0.6608,3.591,0.9297,54.6
4700000,3,82,5850,177,166,0.3867,0.269,0.0361,40.3
4700000,2,62,6235,136,126,0.7459,0.490,0.0000,46.4
4700000,5,93,5725,335,335,0.6810,1.868,0.6776,50.1
4700000,1,550,6555,226,214,0.1840,1.189,0.6542,66.8
4700000,5,454,7400,123,85,0.0455,1.285,0.8118,92.3
4700000,5,373,8015,147,147,0.0601,1.117,0.7007,113.2
4700000,3,607,8165,117,0,0.0012,0.629,0.0000,114.1
4700000,2,172,7575,319,260,0.0820,1.113,0.7269,89.3
4700000,5,8,8750,120,97,0.2861,1.629,0.6907,44.9
4700000,5,392,9350,175,127,0.3268,0.272,0.0000,97.3
4700000,1,321,8945,251,91,0.0945,0.653,0.3516,78.6
4700000,3,210,9575,195,187,0.3997,0.367,0.0000,100.1
4700000,5,486,10225,138,138,0.2635,1.075,0.5725,83.1
4700000,5,241,10915,136,136,0.5784,2.279,0.9338,35.4
4700000,2,161,10360,278,269,0.2382,1.589,0.8848,57.6
4700000,5,304,11595,174,174,0.5814,4.388,0.9138,49.2
4700000,1,322,11020,338,327,0.3751,3.143,0.8257,44.7
4700000,3,213,11910,180,173,0.5343,3.527,0.8960,46.5
4700000,5,120,12465,153,153,0.3738,2.021,0.8235,54.9
4700000,2,532,12745,171,160,0.0774,1.507,0.7125,50.3
4700000,3,127,13970,121,113,0.1021,0.650,0.0000,48.6
4700000,1,57,13730,192,181,0.4624,1.212,0.8177,53.0
4700000,5,181,13230,313,248,0.3086,1.213,0.7661,54.9
4700000,2,515,14010,251,139,0.0409,0.993,0.7842,95.0
4700000,5,70,14795,207,142,0.1049,0.979,0.6056,117.4
4700000,3,199,15170,226,211,0.0850,0.794,0.2701,102.2
4700000,5,452,15830,149,149,0.2153,1.431,0.7517,92.2
4700000,1,184,15280,331,322,0.1599,1.325,0.7578,84.1
4700000,2,622,16145,179,160,0.0499,1.072,0.5375,66.0
4700000,5,51,16575,242,242,0.5104,1.008,0.5537,56.8
4700000,1,60,17170,167,161,0.3622,0.919,0.5155,69.0
4700000,2,590,17425,116,111,0.1094,2.028,0.9279,78.2
4700000,3,188,16965,208,204,0.2981,0.672,0.0980,67.1
4700000,5,385,17785,44,44,0.3779,1.098,0.5909,105.2
