event,frame,slot,routine,name,role,cls,blend,peak,life,mood,span,off,wild,hrot,tz,tx,ty,tr,schemeA,schemeB,leg
spawn,1715904,4,447,424 warped grid,0,0,0,256,844,1,17000,3835,0,0,1.3627,0.0000,0.0000,0.3989,4,45,1675
spawn,1716292,3,547,524 orbiting balls,3,0,1,87,291,1,6828,17702,0,0,1.3525,-0.1141,-0.0106,4.5877,45,115,1676
spawn,1716611,2,588,565 pinion ladder,3,0,1,122,541,1,12656,29562,0,0,1.0158,0.1212,0.0624,2.4933,45,115,1676
spawn,1716704,1,176,153 loxodrome drift,2,0,1,161,864,1,17000,7468,0,2,1.2765,0.2294,-0.1188,2.6928,45,115,1676
spawn,1716818,4,435,412 soft sunburst,0,0,0,256,891,2,17000,23658,0,0,1.1647,0.0000,0.0000,2.7925,45,115,1676
spawn,1717718,3,583,560 gear silhouettes,3,0,2,85,557,2,8929,31686,0,0,0.7284,0.1282,-0.1071,4.8869,115,112,1677
spawn,1717807,4,326,303 sand dollars,1,0,0,256,652,1,17000,11994,0,0,1.2485,0.0000,0.0000,3.9893,115,112,1677
spawn,1718237,2,215,192 steiner pearls,3,0,1,115,886,1,11812,21227,0,0,1.4798,0.1941,-0.2976,1.1968,115,112,1677
spawn,1718589,4,316,293 lantern rows,1,0,0,256,783,0,17000,9,0,0,1.3710,0.0000,0.0000,3.9893,112,171,1678
spawn,1719003,4,86,063 spiral zoom,0,0,0,256,1078,0,17000,12978,0,0,1.0356,0.0000,0.0000,4.1888,112,171,1678
spawn,1719243,4,465,442 suminagashi,0,0,0,256,615,1,17000,30963,0,0,1.2822,0.0000,0.0000,3.4907,112,171,1678
spawn,1719637,2,116,093 cathedral fan,2,0,1,122,533,1,13812,11512,0,0,0.5683,0.1871,-0.0976,5.8843,171,173,1679
spawn,1719713,1,192,169 braid loom,2,0,1,178,843,1,17000,22743,0,2,0.9152,0.2600,0.2482,1.0971,171,173,1679
spawn,1719792,3,179,156 apollonian tide,3,0,1,100,809,1,6437,4089,59,0,2.3419,-0.2294,0.1565,4.3883,171,173,1679
spawn,1720028,4,29,006 tri morph,0,0,0,256,997,1,17000,7234,0,0,1.1942,0.0000,0.0000,0.0997,171,173,1679
spawn,1721085,4,363,340 polar plasma,0,0,0,256,881,0,17000,22567,0,0,1.2066,0.0000,0.0000,5.8843,173,95,1680
spawn,1721525,1,186,163 droste spiral,2,0,1,152,954,0,12562,10985,0,0,1.7733,-0.1918,-0.0059,5.3856,95,92,1681
spawn,1721657,2,607,584 filament web,3,0,1,103,724,0,8226,428,0,0,1.8821,0.0953,0.0671,0.0000,95,92,1681
spawn,1721800,3,575,552 koi shapes,3,0,1,74,301,0,4519,15869,70,2,2.2003,0.2765,0.2294,4.2885,95,92,1681
spawn,1721920,4,403,380 dry lakebed,0,0,0,256,622,2,17000,6056,0,0,1.1762,0.0000,0.0000,1.1968,95,92,1681
spawn,1722592,4,423,400 spun metal,0,0,0,256,1263,1,17000,20382,0,0,1.3619,0.0000,0.0000,3.1915,92,12,1682
spawn,1723100,3,546,523 strike cascade,3,0,1,96,475,1,6703,4079,0,0,0.7161,-0.1941,-0.2412,3.5904,92,12,1682
spawn,1723205,2,175,152 pentagrid lattice,2,0,1,101,924,1,13406,13516,0,0,1.4859,0.2341,-0.0247,3.6901,92,12,1682
spawn,1723323,1,38,015 twister star,1,0,1,169,1078,1,17000,27804,97,0,1.2150,-0.2647,0.2012,3.4907,92,12,1682
spawn,1723877,4,234,211 marble veins,1,0,0,256,1011,0,17000,8152,0,0,1.2855,0.0000,0.0000,2.7925,12,168,1683
spawn,1725032,2,137,114 khatim weave,2,0,1,109,930,0,8279,27361,134,0,0.5663,0.0718,0.1329,4.7872,168,9,1684
spawn,1725072,4,484,461 curtain folds,0,0,0,256,720,0,17000,1680,0,0,1.0603,0.0000,0.0000,0.7979,168,9,1684
spawn,1725899,4,377,354 rolling mist,0,0,0,256,1453,1,17000,15309,0,0,1.3792,0.0000,0.0000,3.5904,9,40,1685
spawn,1726287,3,616,593 lantern drift,3,0,1,84,346,1,7046,30533,131,1,1.3422,-0.2318,-0.1424,0.8976,9,40,1685
spawn,1726434,1,351,328 rose window,1,0,1,167,791,1,17000,5008,0,2,1.1554,0.0671,-0.1471,2.3936,9,40,1685
spawn,1726766,2,213,190 glenz vectors,2,0,1,118,930,1,11312,10290,140,0,1.9416,-0.0718,-0.2059,3.9893,40,21,1686
spawn,1727371,4,438,415 rays through cloud,0,0,0,256,757,1,17000,24290,0,0,1.3726,0.0000,0.0000,0.9973,40,21,1686
spawn,1727916,3,125,102 vortex silk,2,0,4,90,897,1,4000,492,0,0,0.8413,-0.1776,0.0576,5.6848,21,77,1687
